Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
Cross Validation,குறுக்கு சரிபார்ப்பு,Cross Validation is a method to test a model using different subsets of data.,Training on one part of data and testing on another repeatedly.,தரவை பல பகுதிகளாகப் பிரித்து மாடலை மீண்டும் மீண்டும் சோதிக்கும் முறையே Cross Validation.,பல mock test எழுதிப் பார்த்து திறனை மதிப்பிடுவது போல.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSXCqRrRD5olxbqL3SV1MAlfY-Q8VRPHUI0Hqb04StdqD9c3EhH_AWWPg9uggSP,AI
Curriculum Learning,படிப்படியான கற்றல்,Training from easy to hard tasks.,Simple samples first then complex.,எளிய தரவிலிருந்து கடினத்திற்கு கற்றல்.,பாடம் படிப்படியாக படிப்பது.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTSiIg6FkIOIZSEw_xkb1lHhv62ceCSie1dRqusiAg7KO8UWZFgnaa2ztGCfrAx,AI
Data Augmentation,தரவு பெருக்கம்,Creating new training data by modifying existing data.,Rotating images to create more samples.,இருக்கும் தரவை மாற்றி புதிய தரவு உருவாக்குவது.,,https://www.researchgate.net/publication/384437460/figure/fig2/AS:11431281280864714@1727578323385/Examples-of-data-augmentation-techniques-We-used-three-data-augmentation-techniques.png,AI
Decision Tree,முடிவு மரம்,A Decision Tree is a model that makes decisions using a tree-like structure.,Approving or rejecting a loan based on user data.,கேள்வி–பதில் முறையில் கிளைகளாக பிரிந்து முடிவு எடுக்கும் மாடலே Decision Tree.,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASEAAACuCAMAAABOUkuQAAABAlBMVEX///8AAAD/kU0ec77r6+ulpaV0dHSsrKxXV1fh4eD39/f/jEL7+/vz8/P8/Pzv7++4uLiampra2toAarvNzc3U1NT/j0hFRUVra2vBwcFOTk4/Pz+IiIjOzs7l5eWmpqYrKysjIyNgYGA4ODiAgICMjIx4eHiysrIVFRX+9vHk7vdbW1udnZ0QEBBKi8hJSUn+7OH+1b7+r4HH2u3a5vEoKCj9xqf+4M/+oWr+z7T+2MT+p3T+7+b/w6H/l1b9uJFlnNB6qNUrfMLN3u7/l1XNeUTfiFPol2f+nWL/tIjio359UDXtwag4QUVnj7WTuNyryOSOstlZk8tvodKkw+I8hcb1YfDNAAAQOUlEQVR4nO1daWPaOha1EhZjdsfGGxDjhaWQkqXZmqZL2plJO2/mdZn+/78ykhfARjaWwA5pfD60xtZ6dHV1JV0pDJMjR44cOXLkyJEjR44cOXLkyLGKCl/pcxtDFYI/6xtjKK2WIvREhAp12fYCInAwbRfiQrWBEPgNLjckWwArELct5JNCAZcGq+qwHt2YUFawlnVgbkq33O5a2ngsG8Z02ty6lE8JAbDov/4MADk6VC3UU/r1ZGlP6Qu2NxDA3H2oAKDsOO0mMJz/d51uthCA5D0V3Rav2ToYD10ZsU/AmEX142Wkpo41AHQbfWi3ne8tCYBSAz4UVIGp94SwLhuo6F8RtNqDE5gi1x2AseUq+dXn/caSoToYwMo2oUoaA3CCdMcQgMEJADbSQ2WmAekYX0JKUNAximE535EMKkC2kU4OddRL3c1iAD81mcLYSXqA2C+cOM/6M6BoyRAzBrC8Kpj2ucoU9Q8RnFQanAJABXKhMCMg8TU0SBVg99Fh+GOgiwyngpkTFAy6RRO0A4kPUDCmBZmDMRkNyH2OZxHFjOk8q87znqMHNP9xABnqeaOUCdu8BAUHogspQAy1gYV+ypAwh6EaAH34mwMnDajExibkgA+NcQMn7ZEjnLAt3I9jUIcyN/eybKRbvR1AXFSqASBDNhj2BEEQVTi8I5YgmqoIWWrB6gNtBgf9GuplOqq4KzBDwMPaO2q+DkAg8YHDw8hVcBboCihpE1LcBZbgZsNnU80tsGSoAHRY3RPfzCswl8vqdpE49Uz0vsshuYEWY8mr3QiyBxlyfgxCDKluAGdIMxZJNxlp7D8nMhueFEuGikjPDsG0BK08oySinuYUvzZqQtEaocdKm4VKvODa1IbTyaBtCO1tAbjyFmbI6WWKy5AMDBklPeSRtnOe5eH+ixBkSHcfamPQQ9OLovOrL6IqtdBjEeohhyG3zxlIHSGGhp4MsZBIyBDsfAx3gmNIcBnqusnBiSA0I1wV5zzvO3yGeMmpBw8GXlU5WDPnk+Fo6RFU4o4ppCBRQwy13LFdRErXY6jgWgELBBgSwQD9VwdO0o7kNkN6ay8By10etS1oC0qojpAPtc/1NEe5TgFbh+QM3DaHmnrGMX0TiZNTWR1YHAeHcmHBUD84ljVOHBUteGM6C9gCJ5gOsRKYwmc9bqazL+A9jSm5Ys9wuvNzjipcc597Xg8puyHnaKBHstJ31S0a0TyZ6C9NB/enQ4Dg9dzmwAnvaO+6+8xmVc1twI+Ks7LQX/yGsw7dp6tm6TqLZvWFGWKsMjR10xniW85Ui7NNU3Ym/bWSO/cqBhdJRs6EtzbzLGeuC5MerTy3UqpTjhw5cuTIkSNHZuD4VqsXu4/0siEYrpWtFZ/BYuoToMAu9wwvn/d2RjrgB6vbqt7UK8cSfRBC+alLtG+QwgyB/uZILwmjNYKex0pGdtDXGQLP3Atmt6hgCArtJr5wlHEM5d1sBTaOIf2pS7VPwDI0eOpS7RPaOIY2+qW9JLRwDD2DnZ3sUMAxdPzUpdorqBiG9t9JIUuI6wTF+dK+RAzXRrLaUxdpz9AIT12fgRdHxuCCquh5+92nhNnKQP+83e5TQ/PY0JHLr533sChwfNsErCm3lX6up8PgxPJQA6AkmvCxOwADw1YqOU0uany5JEmyCrQyVD86etXoWQDMDYm1Ri+cpkZlZM3NabsntiXL1T66/0kpSV1FmBna3CrzL3IDra/YrMm2lQLD9Iz5yOdg5Swe1zLmswJT7xXl+bx0LL6gaUhBaRum2m310RmDfttcdYPWAyGbZVU9RtvUdfG4pEpyUfjj7YBmbyZrkjXiXfXSUFipvNqFalI4RmGmsWWXF44vW6pmwKFu/49v0KAuFmVNG5b5he6t2HopZPvUVUzMim1OW34fq1VGXdVk7dYfpcPrcCyXNPlYXBEXrsVKozUNXDDwKYiWLivL0I1+y56acKjjn79yqvMjCyqQWUiB8JZp4UznSuTKYkMomUNhVW4afaUtS/NS8dk61NQqrS4kp712GpMbqeoI3/iVuDN0nCKbVnhOWxDa8lzD5LLfgM0LlQXUqYV1ncpbejdy5iVa8QnXW1PdXt+NbfaOh3MnP/KyZo+mgAwdW8G6JtRG0rwVo2L5DQxB1Mtzc4ZjgoMdeq7DnPeYpmYPGjpzaOhEfOeHl93Y7fh+10iyXV8oalIZbxk1Ki1bRcZWZd8sAmj5lrT5MGYeVR/NWWVDsfnEjkPQ0JxG6DKnk9tTjbVaezJdQfauJJWKsdMCcWjaCVyCZgSnneF4aCjRFDSQDtfUYflJpyvQyh1KphEey8OoH2sbxYcKQkkf9mITLkAjXkLWRvbKydGLcF6+OeuerCcRHzrUFFnvblrVdsx5NNRltTLHQUOHNacJBo16CSpVIxXxWcmkZZho5XZDKyDDHjYpnK6kp5yaLWgFKjarsd2EsyILmO0sHBKbZVYqniQ4gVfnoRULyz/arQ4/vb06m0DR0cYGnAsla4Prq9trhhmON9s3AUzOrm5PqQpZsNCZYFTWt5MNQbkKGurmYR2eJCoeH6oQB7doKBYS9uPTGxTn5pSpkY0jZwco3geKQjKMAickja8o/pezBMGdoU7XZGcIbsPfbjWTRA3jvHqAUL1lmFZC0Xx30EFROp13ZFndelmdk5fSxZ2XQOJ6Ih1umjIorVaTEG/dmLC+ySXQy+2gQ1bViZfTQfUtaSldnPllPSDqLVwZqGcU1fRw3vGLnbhhJn4UwpIuS0kpRMuyklFcUGiq6eNmEfU+aZTTRVNWibTu/YKhG9JSunhclPWKNCpFNX3ckec6WTJEpIhuFwzdkZbSxbKaxNrkjj7qlV9sAnnwS0ooCwvZIxcBFwshJGsZBJpqeph8catb/Zo8jq/dSTXuVzde5wudWbIsK7m9MHlPXk0fp+9huTvVO5JSX1WrnU6VWBQmd9UOzOoLnc0Icf0F5tupnlNMv2A1UVSiavqYXP3j5vyMbG51+vXm5gNFRd+e//NfV5QShDC5v3s8p7MVJlcwKo3ByKBLlSg8d2XKVRm59HT+ZyLl1L+iSir5QR2WbkGGk8TtrgxsbXGDjEx5YkvrG03ZJo1FydCozZhbLeKUtzgiW6JjyLYZW2BKQ8JolAypfcba6qR09gzxJsy1zDAW4TkLOobqGtQGETvTyZA9QzrPMD20ymOTHYmjY+gYjQlbXe+aOUM2UkB954q2mUqiIOgYMtGWQHeb67qyZoh372rT3cznBCM4FUN9x32I36abZc2QFvAuVMzkFFExNHP3E7UtdrgyZsj2BvmptxwvXCb2kqNiyKPG3qKbZcsQ75+ktPxr/8Rx0q0LGoYq3kX4/BYX4mfLkOl7sRwvph38IOGZAhqG7JGfMb1DZ6YM2QtDWlmeh6vovUSRaRjSfGIWVJEjS4Z4ffHYX7GF+noim5eCoeUYVqHvZlkypC/D1/SV9wUzCUUUDK3YQRJ1N8uQIXt1Pm+umrmclqATUDC0YkvMqO8fyo4hPnCvLxsYwhrS5mKQM9RbMRT71Ld+ZMeQGQhtBW/5ZYyNC0bkDAXm9NSjWWYM2UEKimGplzed9iZnKNCTi7QXEmTFULCPBYZ7D8MNC0bEDAmB5ZXm2gGPhMiKIT0Utr8+/HbjF4yIGSoFR8g5pVtdRgxZYTVTn68Hso24/Q9ihgbB1EYzwvgesmGot86HhFnVmhl8tGVEyFCzFerHNa1HtV6dCUM1cz0ki5uxzmKu4iJkaAiM4JJH2/urJqTIhKEuRsAt3GzMAieRiRAypIBpUErFMZ1JlAFD5TZmUtSwsYeduGgaCBmqrfVXjs5FNAOGukBe18AKAITTbcrdoK2RAUMz8xgzRhUxg1ks/kyGJlfnd/dYf4TJ7d3dh+u11+/u787v8b46BAxFpHL99e78lthZPVWG3h44Pi0YJyzHdWTdjffWcYLpYH0tkjPkpRJ2u/jqeKs8kvpKpcmQ7wK27us4OejgfPwWjlTrwkXAUEQqHzxvq/eEUpQmQ74rX+cxXKil91vAtcd3rMS6HSZm6AabytJjj9CvMEWGlj6+a658j1gv3HcLh06cD3JShiJSofb6TJOhpQdruNe8X3xZbdDTWJfXpAxFuBYvPC87j8nS8ZEiQ7WDyArfbJAhnGN5UoYmeBmi9j5PUw999c8arPn43uJPA/jEYc9hJNZDC/UXSGVBHKk/bZoM+edV1j2KGzfYYyHX1ZgDLokZOu14qQSz9bpZldT5PFV76PSxCo2eL5ixe3JXrUJjKTysXL+Hpkz1EWtjJreHYCow27VUXI/jc1LH2JRnHW+/3Z/hi3R9/++/1r/Uzu6/vcUbLAQ2deOvb/eYVN7dfviGs7TikTJDfMzK6hR/CcN/IoKTzMtaETsn9ajEY5A2QzG+TVNsdC5qxX0nDFEs56fMUPTlNgyDv2+ipuHeMrthiItKPAYpM4TZ0lhAxrrFpMsQxU3waTMUs/IpY08TNNJkqLZ/DBViGBriz1vMI3YkdsEQs3+9DHtRm4cufudHSpMhigMMaTMUs9YawZAa4R7+hzLExTDUxjuoqhG7WrthiNxtOGWGGlr0it4Mv9mRKkMUjtVp73XEiHWEWxibKkPk265PyNAxnqFpBBM7YUgl31JKmyGcA4OfNd4ZI1WGKFxk0mZIi2EIn7URsXm8E4YotiWfUIYiqhF1PeBOGMLPlmOROkPRg4eCrwZ+urYjhhLdzhhE2gyp0QyFXaA8DCMYmhIMQ60ofzOKw8ujLf5mVfguaAwEcxbVzXoA4M5Li9MuVlhEaZTYHu5bEYIosjapIuJLUUK9GXKCPwBaAoNIIZKxfy+rGJGqQfDntUQA8Pb6jPwP3woACJtD4VEBCW5tY6MP/nz+74+/P6+/LuFN7dqAoKDFqJLJ5IcX2lv8lVN+o9hzb15FfWp8Ojo8Ojr6FU7jVUSUqPckgT9/fDh8+EF4cJooY8Korz4dHh3+/o7/CAlCOPoYePvmJ3z3+mIt9JuP+PdYRAW+OEJ5Hj2Q1Pjzaxjl5xuCGMvsUNSPcZm9enBIOPqE+/jGJQh+Xq3JxaEbJczqZ+/9/xKVLCLwKz/H10lScfHdTeowYdus4m8vKkaR+Ph5hOEgGD9EIPfgvTwMMt/47QdO0JiLRMKBf2AbJRY+qYcPxHcafPZz+x25uvHKD3KIa7Nf/sfDn8uX3xd1+BEIfIGjMwpRiTCv/RyP/t6ciotlO0boimh82twei5IeHmK+Lhr08Bcm1VXaVguKJTsy5VBgXxDXqIvGT/IoPhK0RzxDF7jW+bFbhoKJrLRqYoFIl6E3USV18dEby1brnG4vW2iGw8RK5UeqvSxeUzPcTzT2Hr1e1clRSrYWpXyxCUcG9uqbXFEvNXVyUn0k0NTxoz3Exa+fv0JNcxHRYjsZ7Rnmfw/QRv1NMnJ/JyZ1gQSjPfPqF7SaH4jkE1qMRxEWI/Y9PpHIwNznC0LjD5p9R7QW428Y9eOGqNDsJt2gSnPWQYU0Zx05cuTIkSNHjhw5cuTIkSNz/B/rw1jVizxR4AAAAABJRU5ErkJggg==",AI
Deep Learning (DL),ஆழமான கற்றல்,Deep Learning is a subset of Machine Learning that uses multi-layer neural networks to learn complex patterns from large amounts of data.,Face recognition systems in airports identify people from camera images.They use deep neural networks to learn complex facial features.,"மனித மூளையைப் போல செயல்படும் நியூரல் நெட்வொர்க் பயன்படுத்தி, அதிக அளவு தரவுகளில் இருந்து கணினி ஆழமாகக் கற்றுக்கொள்ளும் தொழில்நுட்பம் தான் ஆழமான கற்றல்.",,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQXFhV9K32gTIMTkOKsZqyqCWcBJWanVBkFiaByu9NnCmbJ5BFIOtKqDNKkim1R,AI
Deep Q-Network (DQN),ஆழ க்யூ நெட்வொர்க்,DQN is a deep learning model that learns optimal actions using Q-learning.,Teaching AI to play video games like Atari.,Q-learning மற்றும் நியூரல் நெட்வொர்க் இணைந்த RL முறை தான் DQN.,,https://www.researchgate.net/profile/Fahime-Khoramnejad/publication/354936141/figure/fig1/AS:1076812926984198@1633743616979/Reinforcement-learning-with-deep-Q-Network-DQN.png,AI
Dimensionality Reduction,பரிமாண குறைப்பு,Dimensionality Reduction reduces the number of features while preserving important information.,Removing unnecessary columns from a dataset.,தேவையற்ற அம்சங்களை நீக்கி முக்கிய தகவலை மட்டும் வைத்துக் கொள்வதே Dimensionality Reduction.,,https://www.fabriziomusacchio.com/assets/images/posts/dimension_reduction/pca_vs_tsne_thumb.jpg,AI
Discriminator,பிரிப்பான்,Discriminator distinguishes real data from fake data in GANs.,Checking if an image is real or generated.,உண்மை தரவு மற்றும் செயற்கை தரவை பிரிக்கும் பகுதி Discriminator.,,https://www.researchgate.net/publication/335341342/figure/fig1/AS:795037575176192@1566563137117/Network-architecture-generator-top-discriminator-bottom-The-GAN-is-composed-by.ppm,AI
Dropout,தற்செயல் நீக்கம்,Dropout randomly disables neurons during training to prevent overfitting.,Turning off some neurons in each training step.,பயிற்சியின் போது சில நியூரான்களை தற்காலிகமாக நிறுத்தி overfitting-ஐ குறைக்கும் முறை Dropout.,,https://media.geeksforgeeks.org/wp-content/uploads/20240702144440/Neural-Networks-with-Dropout-for-Effective-Regularization.webp,AI
Early Stopping,முன்கூட்டிய நிறுத்தம்,Stopping training when validation error increases to prevent overfitting.,Ending training before loss rises.,மாடல் கெடுக்கும் முன் பயிற்சியை நிறுத்துவது Early Stopping.,அதிக படிப்பு fatigue வருமுன் நிறுத்துவது போல.,https://miro.medium.com/v2/resize:fit:720/format:webp/1*2BvEinjHM4SXt2ge0MOi4w.png,AI
Edge AI,எட்ஜ் செயற்கை நுண்ணறிவு,Running AI models directly on devices instead of cloud.,Face unlock on phone.,இணையம் இல்லாமலும் சாதனத்தில் இயங்கும் AI Edge AI.,மொபைலில் நேரடியாக AI வேலை செய்வது.,,AI
Embedding Layer,சொல் உட்புகுத்து அடுக்கு,Converts words into dense numerical vectors for neural networks.,Turning text input into vector form for NLP models.,சொற்களை எண் வடிவ பிரதிநிதியாக மாற்றும் நியூரல் நெட்வொர்க் அடுக்கு.,வாக்கிய சொற்களை எண்களாக மாற்றி AI புரிய செய்வது.,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*HQeN5Q9FhN_XPbM4QuWIRg.jpeg,AI
